avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
130.0,4.5,5001 to 10000 employees,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Nonprofit Organization,MD,0,1,0,0,0,1,78.0,data_scientist,mid,0,0
77.5,4.3,51 to 200 employees,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),Company - Private,IL,0,0,0,0,0,1,12.0,data_analyst,mid,1,0
87.0,4.0,201 to 500 employees,Consulting,Business Services,$50 to $100 million (USD),Company - Private,VA,0,1,0,0,1,1,18.0,data_engineer,mid,0,0
53.5,4.4,501 to 1000 employees,Wholesale,Business Services,$100 to $500 million (USD),Company - Private,WA,0,0,0,0,0,1,72.0,data_analyst,mid,0,0
85.5,4.2,501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Company - Private,FL,0,1,0,1,0,1,12.0,data_scientist,mid,1,0
48.0,4.5,51 to 200 employees,IT Services,Information Technology,$25 to $50 million (USD),Company - Private,AL,0,0,0,0,0,1,24.0,other,mid,1,0
48.0,3.5,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,LA,0,0,0,0,0,1,21.0,data_analyst,mid,1,0
174.0,3.5,201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Company - Public,CA,0,0,0,0,0,1,30.0,data_scientist,senior,0,0
85.0,3.9,5001 to 10000 employees,Financial Analytics & Research,Finance,$1 to $2 billion (USD),Company - Public,GA,0,1,0,1,0,0,52.0,data_scientist,mid,1,0
106.5,4.7,51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD),Company - Private,MD,0,0,0,0,0,0,17.0,other,mid,0,0
72.5,4.2,1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD),Company - Private,MD,0,0,0,0,0,1,32.0,data_analyst,mid,0,0
85.5,3.4,10000+ employees,IT Services,Information Technology,$10+ billion (USD),Subsidiary or Business Segment,MD,0,0,0,0,0,0,24.0,data_scientist,mid,0,0
97.5,3.2,5001 to 10000 employees,Federal Agencies,Government,$1 to $2 billion (USD),Nonprofit Organization,VA,0,1,0,0,0,1,62.0,data_scientist,mid,1,1
99.0,3.9,501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD),Company - Private,VA,0,1,0,0,0,1,10.0,data_scientist,mid,0,1
56.5,3.1,1001 to 5000 employees,Insurance Carriers,Insurance,$2 to $5 billion (USD),Company - Private,WI,0,0,0,0,0,1,19.0,data_analyst,mid,1,0
133.0,4.1,1 to 50 employees,IT Services,Information Technology,Unknown,Company - Private,MD,0,1,0,0,0,0,13.0,data_scientist,lead,0,0
121.0,3.8,51 to 200 employees,Research & Development,Business Services,Unknown,Company - Private,NY,0,1,0,1,0,0,8.0,data_scientist,mid,0,0
85.5,4.7,501 to 1000 employees,Security Services,Business Services,Unknown,Company - Private,NY,0,1,0,0,0,0,28.0,data_scientist,mid,1,0
87.5,4.3,1001 to 5000 employees,Education Training Services,Education,Unknown,Subsidiary or Business Segment,TX,0,1,0,0,0,0,5.0,data_scientist,mid,1,0
237.5,4.2,1001 to 5000 employees,Consulting,Business Services,Unknown,Company - Private,DC,0,1,0,0,0,1,85.0,data_scientist,senior,0,0
95.5,3.9,1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD),Company - Private,NC,0,1,0,1,0,0,23.0,data_engineer,mid,1,1
104.5,3.3,10000+ employees,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),Company - Public,MI,0,1,0,1,1,1,26.0,data_scientist,senior,1,0
56.5,4.7,201 to 500 employees,Computer Hardware & Software,Information Technology,Unknown,Company - Private,NJ,0,0,0,0,0,1,8.0,data_analyst,mid,1,1
55.0,4.3,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),Company - Private,AZ,0,0,0,0,0,1,10.0,data_analyst,senior,1,0
61.5,2.9,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Unknown,Hospital,NE,0,0,0,0,0,1,43.0,research_scientist,mid,0,0
157.0,4.5,201 to 500 employees,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Company - Private,CA,0,0,0,1,1,0,14.0,data_scientist,mid,0,0
78.0,3.4,201 to 500 employees,Internet,Information Technology,Unknown,Company - Private,NJ,0,1,0,0,0,0,1.0,data_engineer,mid,1,0
